peso_entrevista,peso_examen_mec
34796.393749,54130.432806
19146.727129,34064.800579
14184.85085,16033.873363
57806.108867,77975.433975
6848.777702,7975.370961
38259.03808,38294.513356
68786.279018,86548.379787
24359.897853,34520.340092
12933.157622,13313.981416
37335.381954,41457.969409
26643.908396,48782.80988
25850.69004,42191.800977
18770.816754,21426.8465
31949.957374,43404.687162
18734.036913,22623.445731
42805.326857,56287.901787
22666.300858,30846.238909
31993.470651,41345.834655
58698.264851,113723.46282
56683.302558,65217.690977
28410.871685,37840.66116
33742.530518,39691.400797
65833.728225,110706.586439
82593.209647,101473.392975
34526.632419,43228.085225
12590.306939,13262.775669
53828.062461,64890.953865
88145.094,127880.822636
23052.693721,27774.580395
34218.300082,31896.150972
15935.636897,16732.349552
29608.6281,40911.609167
12967.831545,13017.009987
30649.52844,43221.706153
18434.794833,22684.89191
26748.56944,40787.934527
7063.725523,6911.401088
10702.675678,10788.33738
18076.961541,21503.469923
35648.833745,42916.018162
53655.070659,68177.475491
63560.239969,87938.998653
14875.028471,18393.925249
21835.945552,29295.51817
81240.692509,73434.213973
17216.853173,16967.63488
70455.074469,64930.68547
24982.520981,27259.314698
18500.484058,19920.266302
13494.448525,18489.512042
29493.09189,42099.503891
34928.869741,46552.540613
15025.069394,20187.388952
50589.499706,82231.133603
43929.413747,49176.496642
24991.932185,28752.636945
35536.010486,40640.049031
20503.776218,21431.985362
26903.973076,31381.453127
23865.80146,31271.429748
25956.430503,29211.698142
10089.061707,11511.917291
7500.182041,9768.702582
42722.679829,54517.873409
62811.676916,88838.089592
44709.306185,71003.183611
70818.073404,83585.903377
74924.938771,92702.828339
14231.233589,17578.545142
22151.588775,19278.276673
83591.147244,106713.345365
25128.236219,32142.867283
51076.212376,57218.029283
92328.376166,128866.29511
16570.577614,22423.560781
21817.274975,25389.817687
30399.9366,36133.921056
69131.269026,100333.684173
52833.416802,63330.556231
58347.41195,74071.464439
15000.471789,20562.910236
38721.698964,44615.882837
16630.388349,28449.997205
68191.620012,83844.97034
22935.459252,21572.964934
21299.355934,31823.308977
7416.738711,8001.098134
19431.283437,29957.281608
43370.952505,60005.265323
14657.304595,16155.413034
37381.296038,64430.893777
15954.785981,33766.693663
15062.034429,21669.047269
54995.5493,48156.698371
20974.382895,56057.516891
42979.246924,49474.781277
12847.720654,13771.898834
11836.858038,12565.38358
74239.719914,92358.230009
35368.178306,52495.957075
19400.435715,21305.793769
31238.21526,35300.793732
64465.713502,98680.760783
44308.163482,58541.380939
26956.174193,34408.620518
27494.725854,33721.1298
24784.911692,31992.455268
58875.963382,76405.931759
33981.684645,53835.475242
19497.694391,31810.798884
35248.865005,45946.466985
26548.070121,28303.824231
64793.79649,85470.399471
16471.589789,17264.603767
21500.933897,26482.985241
12296.018047,13503.636131
44565.229987,52883.178241
30900.963781,37656.066115
20695.136105,25032.493383
22598.295353,25015.297087
47201.514891,67788.264892
22151.588775,19278.276673
13652.987193,18828.853694
73921.649702,118852.762001
7429.034939,9832.505708
11362.584174,12965.250125
16420.470628,21489.165869
19969.545762,30306.005166
27359.311001,23871.754386
8307.366334,14122.066703
20312.540212,22005.498737
79269.903956,103311.832003
19576.882461,21548.703413
66174.079385,74014.297249
12313.047196,13401.235387
30776.393844,31355.738007
55823.676581,65651.377625
23444.526975,35086.828811
26222.460026,35499.380703
53486.872498,59345.092856
10316.282287,11639.329435
29999.962066,37553.250018
24172.824416,48616.420428
53638.094157,60954.970143
14404.732571,15150.0552
55375.524082,76084.571207
13023.74231,15725.143931
42341.434582,59154.235479
20298.705859,38370.07455
9940.984222,12162.3454
28141.276917,33943.421442
30569.778699,31495.562453
20128.282224,26345.890235
32242.183793,37115.005618
16804.402957,23241.834206
26846.666928,43789.135446
14528.186183,17646.659445
21554.187968,29821.374299
14617.955899,15848.392067
101173.743541,149898.086234
13544.388486,16283.486023
24563.627253,26874.34837
26612.192605,35172.943478
26481.425626,27233.865707
30827.045909,56184.157048
29357.693889,28514.196931
38944.39077,57862.756094
29017.173202,33562.098592
42086.493124,52130.961204
19705.18599,24505.998245
16988.331554,16452.191997
114909.1124,125682.270497
28734.812186,35176.40099
37772.085641,54244.855497
12701.303491,13893.35509
14609.16676,15515.499079
21413.869873,37693.586967
62556.491694,72739.375239
26740.651375,38869.271697
83258.032027,108525.83251
28897.806078,39635.787491
8932.737478,9155.13611
23718.524237,26292.647131
11828.123241,16441.526078
17290.717503,38428.477065
56924.954544,81689.62636
49572.434664,59930.896291
39764.943222,61880.81689
18445.591463,23493.533031
57684.818581,72556.964281
37225.562646,45310.441752
32962.998792,40295.837824
26503.479972,27066.767967
64614.551633,113245.979448
28298.839182,35017.912573
23694.511007,25906.53242
102379.399189,138127.565319
27797.196914,26598.192076
29805.927093,43088.919117
9519.31259,13255.890853
29250.896326,35905.244505
33160.812519,49004.086477
21649.732729,31775.211775
43894.184561,55974.294452
24065.18817,32485.005667
16055.974362,18284.885197
21884.339461,32039.999703
40281.843757,54018.438437
30458.457837,45518.676841
31083.211749,34205.616069
22020.810787,26229.982796
21760.675243,26559.978475
15576.509775,17007.184345
15372.645897,16585.825493
19032.888841,28705.920729
28372.847437,33046.240021
54079.561981,57095.907176
58835.684643,75027.595591
13534.749408,12430.573095
33889.010478,36727.42207
33020.808912,39904.94765
24106.832237,26239.851399
36821.515974,64443.59777
76050.861896,117358.610254
7074.6327,9363.445855
22080.329455,19831.906404
31422.813367,34892.532689
66830.93412,79247.266316
15298.384306,16605.839728
30829.97777,34356.389049
17656.158687,23657.358004
15290.663732,16559.610549
55559.595347,64016.829394
24955.117129,27445.794233
57436.506594,81638.340417
15201.110377,14272.718651
11308.169438,11493.339454
16269.676092,15649.957024
18582.074219,27107.5562
17201.717313,18136.335638
61719.303406,78968.358237
9994.075715,10553.107412
39334.651776,45840.578575
12975.395694,17873.622722
42014.107841,55283.388665
55086.147896,65466.760616
27609.499029,33932.709302
33815.014048,44685.661593
10778.95765,13187.568058
14935.119814,20671.404189
19570.355667,21404.82126
26829.646862,33933.541007
8309.615002,10479.476199
20399.372327,23511.839097
41684.798942,49215.636111
13293.455801,13981.27929
