generation,best_g_mean,best_num_features,fitness_model,best_generation,max_g_mean
57,0.6746129945070188,65,RandomForest,7,0.6746129945070188
58,0.6746129945070188,65,RandomForest,7,0.6746129945070188
59,0.6746129945070188,65,RandomForest,7,0.6746129945070188
60,0.6746129945070188,65,RandomForest,7,0.6746129945070188
61,0.6746129945070188,65,RandomForest,7,0.6746129945070188
62,0.6746129945070188,65,RandomForest,7,0.6746129945070188
63,0.6746129945070188,65,RandomForest,7,0.6746129945070188
64,0.6746129945070188,65,RandomForest,7,0.6746129945070188
65,0.6746129945070188,65,RandomForest,7,0.6746129945070188
66,0.6746129945070188,65,RandomForest,7,0.6746129945070188
67,0.6746129945070188,65,RandomForest,7,0.6746129945070188
68,0.6746129945070188,65,RandomForest,7,0.6746129945070188
69,0.6746129945070188,65,RandomForest,7,0.6746129945070188
70,0.6746129945070188,65,RandomForest,7,0.6746129945070188
71,0.6746129945070188,65,RandomForest,7,0.6746129945070188
72,0.6746129945070188,65,RandomForest,7,0.6746129945070188
73,0.6746129945070188,65,RandomForest,7,0.6746129945070188
74,0.6746129945070188,65,RandomForest,7,0.6746129945070188
75,0.6746129945070188,65,RandomForest,7,0.6746129945070188
76,0.6746129945070188,65,RandomForest,7,0.6746129945070188
77,0.6746129945070188,65,RandomForest,7,0.6746129945070188
78,0.6746129945070188,65,RandomForest,7,0.6746129945070188
79,0.6746129945070188,65,RandomForest,7,0.6746129945070188
80,0.6746129945070188,65,RandomForest,7,0.6746129945070188
0,0.6299533928868668,39,DecisionTree_depth3,67,0.6448371525273262
1,0.6299533928868668,39,DecisionTree_depth3,67,0.6448371525273262
2,0.6299533928868668,39,DecisionTree_depth3,67,0.6448371525273262
3,0.6299533928868668,40,DecisionTree_depth3,67,0.6448371525273262
4,0.6299533928868668,40,DecisionTree_depth3,67,0.6448371525273262
5,0.6299533928868668,40,DecisionTree_depth3,67,0.6448371525273262
6,0.6299533928868668,40,DecisionTree_depth3,67,0.6448371525273262
7,0.6299533928868668,40,DecisionTree_depth3,67,0.6448371525273262
8,0.6344226821283916,46,DecisionTree_depth3,67,0.6448371525273262
9,0.6344226821283916,46,DecisionTree_depth3,67,0.6448371525273262
10,0.6344226821283916,46,DecisionTree_depth3,67,0.6448371525273262
