modelo,pareto_idx,n_variables,precision_cv,recall_cv,accuracy_test,precision_test,recall_test,f1_test,custom_score_test,TN,FP,FN,TP,selected_features
SVC,55,4,0.21325611325611327,0.8254030619157297,0.5104166666666666,0.4796573875802998,0.8517110266159695,0.6136986301369863,0.6284788431945677,70,243,39,224,"['medicacion_osteoporosis_1', 'fracturas_1', 'raza_etnia_2.0', 'raza_etnia_7.0']"
SVC,34,9,0.5081632653061224,0.7973580815607642,0.5833333333333334,0.5300261096605744,0.7718631178707225,0.628482972136223,0.6267609129446337,133,180,60,203,"['albumina_orina_mg_l', 'genero_1', 'edad_an', 'ratio_albumina_creatinina', 'linfocitos_abs', 'estado_elastografia_1', 'tamano_manguito_pa_3.0', 'toma_suplementos_1', 'ldl_martin_mmol_l']"
SVC,40,9,0.5081632653061224,0.7973580815607642,0.5833333333333334,0.5300261096605744,0.7718631178707225,0.628482972136223,0.6267609129446337,133,180,60,203,"['toma_suplementos_1', 'ratio_albumina_creatinina', 'albumina_orina_mg_l', 'linfocitos_abs', 'edad_an', 'ldl_martin_mmol_l', 'estado_elastografia_1', 'genero_1', 'tamano_manguito_pa_3.0']"
SVC,33,8,0.5339400625114911,0.7874678227882401,0.6076388888888888,0.5530085959885387,0.7338403041825095,0.630718954248366,0.625341279266127,157,156,70,193,"['peso_kg', 'eritrocitos_totales', 'trigliceridos_mmol_l', 'ratio_iqr_mediana', 'periodo_examen_1', 'edad_an', 'albumina_orina_mg_l', 'raza_etnia_6.0']"
SVC,65,8,0.5298676227247656,0.7923858555751253,0.6076388888888888,0.5530085959885387,0.7338403041825095,0.630718954248366,0.625341279266127,157,156,70,193,"['periodo_examen_1', 'raza_etnia_6.0', 'ratio_iqr_mediana', 'peso_kg', 'edad_an', 'eritrocitos_totales', 'trigliceridos_mmol_l', 'fracturas_1']"
SVC,142,11,0.5420849420849421,0.7776317572144695,0.6111111111111112,0.5568513119533528,0.7262357414448669,0.6303630363036303,0.6246050837499584,161,152,72,191,"['ratio_iqr_mediana', 'periodo_examen_1', 'eritrocitos_totales', 'fracturas_1', 'edad_an', 'medicacion_osteoporosis_1', 'rigidez_iqr', 'peso_kg', 'ratio_albumina_creatinina', 'raza_etnia_6.0', 'trigliceridos_mmol_l']"
SVC,147,11,0.5420849420849421,0.7776317572144695,0.6111111111111112,0.5568513119533528,0.7262357414448669,0.6303630363036303,0.6246050837499584,161,152,72,191,"['ratio_albumina_creatinina', 'edad_an', 'raza_etnia_6.0', 'ratio_iqr_mediana', 'eritrocitos_totales', 'periodo_examen_1', 'medicacion_osteoporosis_1', 'fracturas_1', 'peso_kg', 'rigidez_iqr', 'trigliceridos_mmol_l']"
SVC,58,4,0.21324692038977755,0.8287088470396965,0.5086805555555556,0.47835497835497837,0.8403041825095057,0.6096551724137931,0.6231346600167893,72,241,42,221,"['raza_etnia_6.0', 'fracturas_1', 'raza_etnia_2.0', 'medicacion_osteoporosis_1']"
SVC,129,4,0.21324692038977755,0.8287088470396965,0.5086805555555556,0.47835497835497837,0.8403041825095057,0.6096551724137931,0.6231346600167893,72,241,42,221,"['raza_etnia_2.0', 'raza_etnia_6.0', 'fracturas_1', 'medicacion_osteoporosis_1']"
LogisticRegression,26,2,0.18603603603603605,0.8434764937000405,0.4947916666666667,0.47058823529411764,0.8517110266159695,0.6062246278755075,0.6230373518228585,61,252,39,224,"['fracturas_1', 'raza_etnia_2.0']"
LogisticRegression,32,2,0.18603603603603605,0.8434764937000405,0.4947916666666667,0.47058823529411764,0.8517110266159695,0.6062246278755075,0.6230373518228585,61,252,39,224,"['fracturas_1', 'raza_etnia_2.0']"
SVC,79,2,0.18059385916528775,0.8467687305243192,0.4947916666666667,0.47058823529411764,0.8517110266159695,0.6062246278755075,0.6230373518228585,61,252,39,224,"['raza_etnia_2.0', 'fracturas_1']"
SVC,118,2,0.18059385916528775,0.8467687305243192,0.4947916666666667,0.47058823529411764,0.8517110266159695,0.6062246278755075,0.6230373518228585,61,252,39,224,"['raza_etnia_2.0', 'fracturas_1']"
SVC,175,2,0.18059385916528775,0.8467687305243192,0.4947916666666667,0.47058823529411764,0.8517110266159695,0.6062246278755075,0.6230373518228585,61,252,39,224,"['raza_etnia_2.0', 'fracturas_1']"
SVC,180,2,0.18059385916528775,0.8467687305243192,0.4947916666666667,0.47058823529411764,0.8517110266159695,0.6062246278755075,0.6230373518228585,61,252,39,224,"['raza_etnia_2.0', 'fracturas_1']"
SVC,184,2,0.18059385916528775,0.8467687305243192,0.4947916666666667,0.47058823529411764,0.8517110266159695,0.6062246278755075,0.6230373518228585,61,252,39,224,"['raza_etnia_2.0', 'fracturas_1']"
